"old_url","old_path","action","new_url","new_path","expected_status","robots","lang","title","source","note"
"https://okhlopkov.com/183-ai-bots-telegram-44m-users/","/183-ai-bots-telegram-44m-users/","preserve_same_path","https://okhlopkov.com/183-ai-bots-telegram-44m-users/","/183-ai-bots-telegram-44m-users/","200","index, follow","en","183 AI Bots on Telegram with 44M Users: What the Data Shows","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/183-ai-bots-telegram-research/","/183-ai-bots-telegram-research/","preserve_same_path","https://okhlopkov.com/183-ai-bots-telegram-research/","/183-ai-bots-telegram-research/","200","index, follow","ru","183 AI-бота в Telegram с 44M MAU: что показывают данные","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/cn-ai-tools-march-2026/","/cn-ai-tools-march-2026/","preserve_same_path","https://okhlopkov.com/cn-ai-tools-march-2026/","/cn-ai-tools-march-2026/","200","index, follow","zh","2026年3月我实测的AI工具:真实评测","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/21-questions-ai-agent-knowledge-gaps/","/21-questions-ai-agent-knowledge-gaps/","preserve_same_path","https://okhlopkov.com/21-questions-ai-agent-knowledge-gaps/","/21-questions-ai-agent-knowledge-gaps/","200","index, follow","en","21 Questions That Expose Gaps in Your AI Agent's Knowledge","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/21-question-ai-agent/","/21-question-ai-agent/","preserve_same_path","https://okhlopkov.com/21-question-ai-agent/","/21-question-ai-agent/","200","index, follow","ru","21 вопрос, который покажет слабые места вашего AI-агента","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/cn-21-questions-ai-agent/","/cn-21-questions-ai-agent/","preserve_same_path","https://okhlopkov.com/cn-21-questions-ai-agent/","/cn-21-questions-ai-agent/","200","index, follow","zh","21个问题揭露你AI代理的知识盲区","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/ai-tools-march-2026-honest-review/","/ai-tools-march-2026-honest-review/","preserve_same_path","https://okhlopkov.com/ai-tools-march-2026-honest-review/","/ai-tools-march-2026-honest-review/","200","index, follow","en","AI Tools I Actually Tried in March 2026: Honest Review","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/ai-agent-na-servere-24-7/","/ai-agent-na-servere-24-7/","preserve_same_path","https://okhlopkov.com/ai-agent-na-servere-24-7/","/ai-agent-na-servere-24-7/","200","index, follow","ru","AI-агент на сервере 24/7: как я запустил Claude Code на VPS","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/ai-tools-march-2026-review/","/ai-tools-march-2026-review/","preserve_same_path","https://okhlopkov.com/ai-tools-march-2026-review/","/ai-tools-march-2026-review/","200","index, follow","ru","AI-инструменты, которые я попробовал в марте 2026: честный обзор","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/always-on-ai-agent-server-setup/","/always-on-ai-agent-server-setup/","preserve_same_path","https://okhlopkov.com/always-on-ai-agent-server-setup/","/always-on-ai-agent-server-setup/","200","index, follow","en","Always-On AI Agent: Running Claude Code 24/7 on a Server","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/telegram-mcp-server-guide/","/telegram-mcp-server-guide/","preserve_same_path","https://okhlopkov.com/telegram-mcp-server-guide/","/telegram-mcp-server-guide/","200","index, follow","en","Telegram MCP Server for Claude Code: Telethon, MTProto and Real Workflows","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/claude-code-compaction-explained/","/claude-code-compaction-explained/","preserve_same_path","https://okhlopkov.com/claude-code-compaction-explained/","/claude-code-compaction-explained/","200","index, follow","en","Claude Code /compact: Context Compression, Compaction Prompts, What Survives","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/claude-code-compaction-kak-rabotaet/","/claude-code-compaction-kak-rabotaet/","preserve_same_path","https://okhlopkov.com/claude-code-compaction-kak-rabotaet/","/claude-code-compaction-kak-rabotaet/","200","index, follow","ru","/compact в Claude Code: как работает сжатие контекста","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/decentralized-ai-compute-cocoon-bittensor-gonka/","/decentralized-ai-compute-cocoon-bittensor-gonka/","preserve_same_path","https://okhlopkov.com/decentralized-ai-compute-cocoon-bittensor-gonka/","/decentralized-ai-compute-cocoon-bittensor-gonka/","200","index, follow","en","Decentralized AI Compute: Cocoon vs Bittensor vs Gonka Compared","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/telegram-mcp-server-kak-sdelat/","/telegram-mcp-server-kak-sdelat/","preserve_same_path","https://okhlopkov.com/telegram-mcp-server-kak-sdelat/","/telegram-mcp-server-kak-sdelat/","200","index, follow","ru","Telegram MCP Server для Claude Code: пошаговый гайд","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/cn-183-ai-bots-telegram/","/cn-183-ai-bots-telegram/","preserve_same_path","https://okhlopkov.com/cn-183-ai-bots-telegram/","/cn-183-ai-bots-telegram/","200","index, follow","zh","Telegram上183个AI机器人,4400万用户:数据揭示了什么","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/cn-claude-code-setup-mcp-hooks-skills-2026/","/cn-claude-code-setup-mcp-hooks-skills-2026/","preserve_same_path","https://okhlopkov.com/cn-claude-code-setup-mcp-hooks-skills-2026/","/cn-claude-code-setup-mcp-hooks-skills-2026/","200","index, follow","zh","Claude Code配置：MCP、Hooks、Skills — 2026真实使用","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/claude-code-setup-mcp-hooks-skills-2026/","/claude-code-setup-mcp-hooks-skills-2026/","preserve_same_path","https://okhlopkov.com/claude-code-setup-mcp-hooks-skills-2026/","/claude-code-setup-mcp-hooks-skills-2026/","200","index, follow","en","My Claude Code Setup: MCP Servers, Hooks, Skills and Agents (2026)","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/claude-code-nastrojka-mcp-hooks-skills-2026/","/claude-code-nastrojka-mcp-hooks-skills-2026/","preserve_same_path","https://okhlopkov.com/claude-code-nastrojka-mcp-hooks-skills-2026/","/claude-code-nastrojka-mcp-hooks-skills-2026/","200","index, follow","ru","Claude Code: настройка MCP, Hooks и Skills в 2026 — мой рабочий сетап","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/en-claude-codex-dual-review/","/en-claude-codex-dual-review/","preserve_same_path","https://okhlopkov.com/en-claude-codex-dual-review/","/en-claude-codex-dual-review/","200","index, follow","en","Claude Code + Codex Dual Review: How Two AI Agents Cross-Check Each Other's Plans","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/cn-claude-codex-dual-review/","/cn-claude-codex-dual-review/","preserve_same_path","https://okhlopkov.com/cn-claude-codex-dual-review/","/cn-claude-codex-dual-review/","200","index, follow","zh","Claude Code + Codex双重审查：两个AI代理如何交叉检查彼此的计划","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/legalnyj-ai-setup-claude-codex-crontab/","/legalnyj-ai-setup-claude-codex-crontab/","preserve_same_path","https://okhlopkov.com/legalnyj-ai-setup-claude-codex-crontab/","/legalnyj-ai-setup-claude-codex-crontab/","200","index, follow","ru","Мой легальный AI-сетап за $120/мес: Claude Code + Codex + crontab","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/claude-codex-dual-review/","/claude-codex-dual-review/","preserve_same_path","https://okhlopkov.com/claude-codex-dual-review/","/claude-codex-dual-review/","200","index, follow","ru","Claude Code + Codex: двойное ревью AI-агентов через MCP","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/en-telegram-ads-61k-search-queries-analysis/","/en-telegram-ads-61k-search-queries-analysis/","preserve_same_path","https://okhlopkov.com/en-telegram-ads-61k-search-queries-analysis/","/en-telegram-ads-61k-search-queries-analysis/","200","index, follow","en","Telegram Ads Keyword Analysis: 61,000 Search Queries from 3,100+ Advertisers","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/cn-telegram-ads-61k-search-queries-analysis/","/cn-telegram-ads-61k-search-queries-analysis/","preserve_same_path","https://okhlopkov.com/cn-telegram-ads-61k-search-queries-analysis/","/cn-telegram-ads-61k-search-queries-analysis/","200","index, follow","zh","Telegram Ads关键词分析：来自3100+广告商的61000个搜索查询","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
"https://okhlopkov.com/en-fake-claude-code-phishing-site-google/","/en-fake-claude-code-phishing-site-google/","preserve_same_path","https://okhlopkov.com/en-fake-claude-code-phishing-site-google/","/en-fake-claude-code-phishing-site-google/","200","index, follow","en","Fake Claude Code Website: How I Found a Phishing Site in Google Ads","imported_article","Imported into the normal article catalog with original path, canonical URL and shared article renderer."
